origin,dest,carriers,passengers
HNL,OGG,Hawaiian,59915
HNL,KOA,Hawaiian,60832
HNL,LIH,Hawaiian,50060
HNL,ITO,Hawaiian,46235
OGG,HNL,Hawaiian,60149
OGG,KOA,Hawaiian,18847
OGG,LIH,Hawaiian,18904
OGG,ITO,Hawaiian,13810
KOA,HNL,Hawaiian,63847
KOA,OGG,Hawaiian,16919
KOA,LIH,Hawaiian,9426
KOA,ITO,Hawaiian,166
LIH,HNL,Hawaiian,49990
LIH,OGG,Hawaiian,20920
LIH,KOA,Hawaiian,9259
LIH,ITO,Hawaiian,5884
ITO,HNL,Hawaiian,43801
ITO,OGG,Hawaiian,17033
ITO,KOA,Hawaiian,787
ITO,LIH,Hawaiian,5639
HNL,OGG,Aloha,30031
HNL,KOA,Aloha,27427
HNL,LIH,Aloha,23770
HNL,ITO,Aloha,18479
OGG,HNL,Aloha,29039
OGG,KOA,Aloha,8367
OGG,LIH,Aloha,16467
OGG,ITO,Aloha,3378
KOA,HNL,Aloha,29022
KOA,OGG,Aloha,6819
KOA,LIH,Aloha,7248
KOA,ITO,Aloha,258
LIH,HNL,Aloha,23831
LIH,OGG,Aloha,15966
LIH,KOA,Aloha,7269
LIH,ITO,Aloha,3594
ITO,HNL,Aloha,16856
ITO,OGG,Aloha,4649
ITO,KOA,Aloha,287
ITO,LIH,Aloha,3500
HNL,OGG,Go,6491
HNL,KOA,Go,7190
HNL,LIH,Go,5839
HNL,ITO,Go,5818
OGG,HNL,Go,6555
OGG,KOA,Go,570
OGG,LIH,Go,1136
OGG,ITO,Go,144
KOA,HNL,Go,7065
KOA,OGG,Go,688
KOA,LIH,Go,777
KOA,ITO,Go,0
LIH,HNL,Go,5877
LIH,OGG,Go,936
LIH,KOA,Go,881
LIH,ITO,Go,343
ITO,HNL,Go,5570
ITO,OGG,Go,307
ITO,KOA,Go,0
ITO,LIH,Go,311
HNL,OGG,Island,518
HNL,KOA,Island,119
HNL,LIH,Island,338
HNL,ITO,Island,17
OGG,HNL,Island,667
OGG,KOA,Island,63
OGG,LIH,Island,259
OGG,ITO,Island,18
KOA,HNL,Island,189
KOA,OGG,Island,99
KOA,LIH,Island,8
KOA,ITO,Island,1
LIH,HNL,Island,426
LIH,OGG,Island,261
LIH,KOA,Island,7
LIH,ITO,Island,0
ITO,HNL,Island,103
ITO,OGG,Island,61
ITO,KOA,Island,0
ITO,LIH,Island,0
HNL,OGG,Other,4964
HNL,KOA,Other,1733
HNL,LIH,Other,882
HNL,ITO,Other,550
OGG,HNL,Other,4236
OGG,KOA,Other,800
OGG,LIH,Other,231
OGG,ITO,Other,214
KOA,HNL,Other,1770
KOA,OGG,Other,321
KOA,LIH,Other,222
KOA,ITO,Other,0
LIH,HNL,Other,1068
LIH,OGG,Other,151
LIH,KOA,Other,169
LIH,ITO,Other,103
ITO,HNL,Other,517
ITO,OGG,Other,275
ITO,KOA,Other,1
ITO,LIH,Other,54
