year,qtr,origin,dest,pc_hawaiian,pc_aloha,pc_go,pc_island,pc_other,mf_hawaiian,mf_aloha,mf_go,mf_island,mf_other
1993,1,HNL,OGG,36,399,0,5,260,72,58,NA,61.5,44
1993,1,HNL,KOA,30,267,0,0,62,40.21,58,NA,NA,55.745
1993,1,HNL,LIH,6,167,0,0,23,38.6,47,NA,NA,64
1993,1,HNL,ITO,8,204,0,0,0,45.37,51.99,NA,NA,NA
1993,1,OGG,HNL,48,384,0,1,231,57.75,56,NA,52,44
1993,1,OGG,KOA,32,151,0,0,0,44.305,50.5,NA,NA,NA
1993,1,OGG,LIH,14,101,0,0,0,58.48,55.51,NA,NA,NA
1993,1,OGG,ITO,4,107,0,0,0,38.775,50.51,NA,NA,NA
1993,1,KOA,HNL,64,270,0,0,79,74.01,62.01,NA,NA,59
1993,1,KOA,OGG,1,123,0,0,1,67.5,54,NA,NA,62
1993,1,KOA,LIH,62,51,0,0,0,46.51,50.01,NA,NA,NA
1993,1,KOA,ITO,0,4,0,0,0,NA,36,NA,NA,NA
1993,1,LIH,HNL,18,153,0,0,24,33.5,48,NA,NA,58
1993,1,LIH,OGG,18,101,0,0,0,56.99,55.51,NA,NA,NA
1993,1,LIH,KOA,49,50,0,0,0,53.99,53.99,NA,NA,NA
1993,1,LIH,ITO,62,54,0,0,0,40,46.01,NA,NA,NA
1993,1,ITO,HNL,12,196,0,0,1,62.995,51.99,NA,NA,148
1993,1,ITO,OGG,7,93,0,0,0,57.01,50.51,NA,NA,NA
1993,1,ITO,KOA,6,1,0,0,0,33,28,NA,NA,NA
1993,1,ITO,LIH,64,57,0,0,0,36.255,37.02,NA,NA,NA
1993,2,HNL,OGG,60,376,0,3,269,37,59.25,NA,60.5,44
1993,2,HNL,KOA,33,270,0,0,55,42,53,NA,NA,47
1993,2,HNL,LIH,27,173,0,0,9,37,50,NA,NA,54
1993,2,HNL,ITO,27,151,0,0,0,37.99,51,NA,NA,NA
1993,2,OGG,HNL,67,355,0,0,224,38,59,NA,NA,44
1993,2,OGG,KOA,27,163,0,0,0,32.66,47,NA,NA,NA
1993,2,OGG,LIH,22,131,0,0,0,53.99,57.99,NA,NA,NA
1993,2,OGG,ITO,8,112,0,0,0,35.505,47,NA,NA,NA
1993,2,KOA,HNL,53,295,0,0,59,45.24,54.99,NA,NA,47.51
1993,2,KOA,OGG,9,149,0,0,0,38,49,NA,NA,NA
1993,2,KOA,LIH,31,66,0,0,1,59,53.99,NA,NA,147.99
1993,2,KOA,ITO,10,0,0,0,0,40,NA,NA,NA,NA
1993,2,LIH,HNL,28,158,0,0,13,37.495,52,NA,NA,54
1993,2,LIH,OGG,26,138,0,0,0,53.99,55,NA,NA,NA
1993,2,LIH,KOA,39,65,0,0,0,54.01,54.01,NA,NA,NA
1993,2,LIH,ITO,56,79,0,0,0,54,46.01,NA,NA,NA
1993,2,ITO,HNL,26,141,0,0,0,37.11,51,NA,NA,NA
1993,2,ITO,OGG,11,98,0,0,1,37.99,45,NA,NA,117.99
1993,2,ITO,KOA,0,8,0,0,0,NA,33,NA,NA,NA
1993,2,ITO,LIH,53,78,0,0,0,54,45,NA,NA,NA
1993,3,HNL,OGG,6,380,0,2,246,49.5,56.5,NA,65,44
1993,3,HNL,KOA,6,251,0,0,47,45,59.99,NA,NA,66.99
1993,3,HNL,LIH,1,210,0,0,5,45,53,NA,NA,69
1993,3,HNL,ITO,2,156,0,0,1,42.5,54.99,NA,NA,117.99
1993,3,OGG,HNL,28,352,0,0,185,59,58.25,NA,NA,44
1993,3,OGG,KOA,3,123,0,0,0,45,50,NA,NA,NA
1993,3,OGG,LIH,1,123,0,0,0,48,51.99,NA,NA,NA
1993,3,OGG,ITO,0,116,0,0,0,NA,52.01,NA,NA,NA
1993,3,KOA,HNL,14,258,0,0,50,74.01,59.99,NA,NA,45
1993,3,KOA,OGG,0,95,0,0,0,NA,51,NA,NA,NA
1993,3,KOA,LIH,0,89,0,0,0,NA,51,NA,NA,NA
1993,3,KOA,ITO,1,5,0,0,0,38,38,NA,NA,NA
1993,3,LIH,HNL,18,206,0,0,4,51.5,48.71,NA,NA,72.75
1993,3,LIH,OGG,2,110,0,0,0,60.995,55,NA,NA,NA
1993,3,LIH,KOA,0,78,0,0,0,NA,51.5,NA,NA,NA
1993,3,LIH,ITO,0,76,0,0,0,NA,51.01,NA,NA,NA
1993,3,ITO,HNL,8,130,0,0,1,74,54.99,NA,NA,90.37
1993,3,ITO,OGG,0,109,0,0,0,NA,52.01,NA,NA,NA
1993,3,ITO,KOA,0,2,0,0,0,NA,28,NA,NA,NA
1993,3,ITO,LIH,0,58,0,0,0,NA,51.99,NA,NA,NA
1993,4,HNL,OGG,2,463,0,0,302,40,53.5,NA,NA,44
1993,4,HNL,KOA,0,260,0,0,61,NA,53,NA,NA,74.01
1993,4,HNL,LIH,2,294,0,0,1,61,46.5,NA,NA,20
1993,4,HNL,ITO,2,131,0,0,3,47.995,53.01,NA,NA,148
1993,4,OGG,HNL,37,453,0,0,263,48,53,NA,NA,44
1993,4,OGG,KOA,2,92,0,0,0,45,52,NA,NA,NA
1993,4,OGG,LIH,0,178,0,0,0,NA,48,NA,NA,NA
1993,4,OGG,ITO,2,72,0,0,0,45,53.14,NA,NA,NA
1993,4,KOA,HNL,20,247,0,0,56,74.01,53,NA,NA,45
1993,4,KOA,OGG,2,67,0,0,0,61,52,NA,NA,NA
1993,4,KOA,LIH,0,91,0,0,0,NA,51,NA,NA,NA
1993,4,KOA,ITO,0,8,0,0,0,NA,28,NA,NA,NA
1993,4,LIH,HNL,15,273,0,0,1,74,44.5,NA,NA,20
1993,4,LIH,OGG,0,176,0,0,0,NA,48,NA,NA,NA
1993,4,LIH,KOA,0,88,0,0,0,NA,47.99,NA,NA,NA
1993,4,LIH,ITO,0,74,0,0,0,NA,51.01,NA,NA,NA
1993,4,ITO,HNL,5,132,0,0,0,47,49.01,NA,NA,NA
1993,4,ITO,OGG,3,75,0,0,0,48,51.7,NA,NA,NA
1993,4,ITO,KOA,7,6,0,0,0,38,28,NA,NA,NA
1993,4,ITO,LIH,0,57,0,0,0,NA,47.99,NA,NA,NA
1994,1,HNL,OGG,27,467,0,2,182,26.01,53.5,NA,71,44
1994,1,HNL,KOA,17,350,0,0,64,45,54.99,NA,NA,40.49
1994,1,HNL,LIH,16,331,0,0,1,25.84,50,NA,NA,42
1994,1,HNL,ITO,13,235,0,0,1,39.01,52.51,NA,NA,148.01
1994,1,OGG,HNL,36,434,0,0,153,53.5,53.5,NA,NA,44
1994,1,OGG,KOA,22,161,0,0,0,33.88,49,NA,NA,NA
1994,1,OGG,LIH,13,180,0,0,1,51.51,53.59,NA,NA,148.01
1994,1,OGG,ITO,2,116,0,0,0,42.73,52.01,NA,NA,NA
1994,1,KOA,HNL,65,362,0,0,47,66.99,54,NA,NA,40.49
